"","monthly.transaction.amount"
"2016-09-01",11678.12
"2016-10-01",10822.14
"2016-11-01",6878.55
"2016-12-01",803.56
"2017-01-01",230.25
"2017-02-01",3448.92
"2017-03-01",13574.95
"2017-04-01",9104.13
"2017-05-01",3548.39
"2017-06-01",8203.24
"2017-07-01",12356.95
"2017-08-01",7270.94
"2017-09-01",9906.74
"2017-10-01",9006.55
"2017-11-01",6490.97
"2017-12-01",4942.44
"2018-01-01",3666.98
"2018-02-01",8927.24
"2018-03-01",11590.16
"2018-04-01",8863.3
"2018-05-01",12435.49
"2018-06-01",27357.25
"2018-07-01",4432.1
"2018-08-01",0
